gt all test,,,,od all test,,,,
,cov_grid,cov_pix,,,cov_grid,cov_pix,diff,abs_diff
halimeda_52_cov,2.508163452,2.508163452,,halimeda_52_cov,2.265548706,2.265548706,-0.242614746,0.242614746
halimeda_61_cov,0.230789185,0.230789185,,halimeda_61_cov,0.290489197,0.290489197,0.059700012,0.059700012
halimeda_71_cov,1.67131424,1.67131424,,halimeda_71_cov,2.176094055,2.176094055,0.504779815,0.504779815
halimeda_81_cov,9.714508057,9.714508057,,halimeda_81_cov,9.162998199,9.162998199,-0.551509858,0.551509858
halimeda_87_cov,5.821037292,5.821037292,,halimeda_87_cov,7.053470612,7.053470612,1.23243332,1.23243332
halimeda_88_cov,5.631732941,5.631732941,,halimeda_88_cov,7.599067688,7.599067688,1.967334747,1.967334747
halimeda_8_cov,0,0,,halimeda_8_cov,0,0,0,0
halimeda_92_cov,14.06488419,14.06488419,,halimeda_92_cov,14.71853256,14.71853256,0.65364837,0.65364837
halimeda_9_cov,0,0,,halimeda_9_cov,0,0,0,0
rsz_PA210097_gt,55.76496124,55.76496124,,rsz_PA210097_cov,16.24126434,16.24126434,-39.5236969,39.5236969
,,,,,,,-22.54437612,22.9815691
