               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  82,            0.045305,            0.058264,                   0,              0.6398,             0.53494,             0.53448,             0.20694,            0.053973,             0.05711,                   0,           0.0020971,           0.0020971,           0.0020971
                  83,            0.045043,            0.056686,                   0,             0.62371,             0.55068,             0.55161,             0.21065,            0.053324,             0.05669,                   0,           0.0020823,           0.0020823,           0.0020823
                  84,            0.045874,            0.062608,                   0,             0.60921,              0.5692,             0.57151,             0.22221,            0.053051,            0.055785,                   0,           0.0020674,           0.0020674,           0.0020674
                  85,             0.04501,            0.055354,                   0,             0.63774,             0.53534,              0.5499,             0.21503,            0.053152,            0.057962,                   0,           0.0020526,           0.0020526,           0.0020526
                  86,            0.045186,             0.06234,                   0,             0.57833,             0.54807,             0.52795,             0.20695,            0.054396,            0.056565,                   0,           0.0020377,           0.0020377,           0.0020377
                  87,            0.046559,            0.055823,                   0,             0.64289,             0.52339,             0.54023,             0.21232,            0.053828,            0.058456,                   0,           0.0020229,           0.0020229,           0.0020229
                  88,            0.044059,            0.057196,                   0,             0.60614,             0.55945,             0.54254,             0.20742,            0.054259,            0.057034,                   0,            0.002008,            0.002008,            0.002008
                  89,            0.043841,            0.055066,                   0,             0.62395,             0.54776,             0.54671,             0.21282,            0.053975,            0.056729,                   0,           0.0019932,           0.0019932,           0.0019932
                  90,            0.043908,            0.056862,                   0,             0.65659,             0.53899,             0.56207,             0.21656,            0.053769,             0.05555,                   0,           0.0019783,           0.0019783,           0.0019783
                  91,            0.044861,            0.054808,                   0,             0.62063,             0.55068,             0.54738,             0.21191,            0.054028,            0.056358,                   0,           0.0019635,           0.0019635,           0.0019635
                  92,            0.044237,            0.054647,                   0,             0.61555,              0.5103,             0.53416,             0.20494,            0.054627,            0.056875,                   0,           0.0019486,           0.0019486,           0.0019486
