               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  75,             0.03643,            0.062692,                   0,             0.62202,             0.50122,              0.5069,             0.19243,            0.060058,             0.13182,                   0,            0.006337,            0.006337,            0.006337
                  76,            0.033747,            0.064712,                   0,             0.62675,             0.49392,             0.50639,             0.18558,            0.060536,             0.13237,                   0,           0.0062875,           0.0062875,           0.0062875
                  77,            0.034138,            0.061296,                   0,             0.58925,             0.46472,             0.47442,             0.18214,            0.060772,             0.13608,                   0,            0.006238,            0.006238,            0.006238
                  78,            0.034381,            0.063152,                   0,             0.58688,             0.51502,             0.49075,             0.19417,            0.058713,             0.13352,                   0,           0.0061885,           0.0061885,           0.0061885
                  79,             0.03477,            0.061031,                   0,             0.57786,             0.50852,             0.48086,             0.18513,            0.061126,              0.1344,                   0,            0.006139,            0.006139,            0.006139
                  80,            0.033122,            0.061156,                   0,             0.61781,             0.53771,             0.52769,             0.20955,            0.057714,             0.13352,                   0,           0.0060895,           0.0060895,           0.0060895
                  81,            0.032548,            0.062101,                   0,             0.58986,             0.53539,              0.5166,             0.21095,            0.057828,             0.13794,                   0,             0.00604,             0.00604,             0.00604
                  82,            0.032527,            0.059885,                   0,             0.64275,             0.51582,             0.53266,             0.20357,            0.059155,             0.13885,                   0,           0.0059905,           0.0059905,           0.0059905
                  83,            0.034042,            0.055335,                   0,             0.61133,             0.53771,             0.52867,             0.20935,            0.057957,             0.13594,                   0,            0.005941,            0.005941,            0.005941
                  84,            0.032048,            0.062625,                   0,             0.62246,             0.50947,             0.51002,             0.20136,            0.058869,             0.13476,                   0,           0.0058915,           0.0058915,           0.0058915
                  85,             0.03192,             0.05934,                   0,             0.57582,             0.55474,             0.52864,             0.20358,            0.059458,              0.1358,                   0,            0.005842,            0.005842,            0.005842
                  86,            0.032032,            0.056027,                   0,             0.63866,             0.49392,             0.52264,             0.21002,            0.058701,             0.13468,                   0,           0.0057925,           0.0057925,           0.0057925
                  87,            0.032965,            0.058347,                   0,             0.57925,             0.51338,             0.51149,             0.19438,            0.060503,              0.1352,                   0,            0.005743,            0.005743,            0.005743
                  88,            0.032673,            0.058827,                   0,             0.63753,             0.48785,              0.5129,             0.19907,             0.05895,             0.14035,                   0,           0.0056935,           0.0056935,           0.0056935
                  89,            0.030431,            0.058986,                   0,             0.66388,             0.49635,             0.53027,             0.20513,            0.058708,             0.13885,                   0,            0.005644,            0.005644,            0.005644
                  90,            0.030253,            0.056388,                   0,             0.60262,             0.52311,              0.5237,             0.20258,            0.059818,             0.13677,                   0,           0.0055945,           0.0055945,           0.0055945
                  91,            0.030637,            0.057826,                   0,             0.62841,             0.49635,             0.51786,             0.20612,              0.0591,              0.1392,                   0,            0.005545,            0.005545,            0.005545
                  92,            0.030515,            0.060129,                   0,             0.54738,             0.48662,             0.46836,             0.17765,            0.061895,             0.14226,                   0,           0.0054955,           0.0054955,           0.0054955
                  93,            0.031167,            0.055864,                   0,             0.54525,             0.51095,             0.49442,             0.18733,            0.060278,             0.13471,                   0,            0.005446,            0.005446,            0.005446
                  94,             0.03232,            0.058288,                   0,             0.58393,             0.52068,             0.49951,             0.20054,            0.058588,              0.1337,                   0,           0.0053965,           0.0053965,           0.0053965
                  95,            0.031898,            0.054906,                   0,             0.55155,             0.49675,             0.49559,             0.19225,            0.060504,             0.13893,                   0,            0.005347,            0.005347,            0.005347
                  96,            0.029374,            0.053852,                   0,             0.61644,             0.55718,             0.54204,             0.21893,            0.058382,             0.13799,                   0,           0.0052975,           0.0052975,           0.0052975
