gt all test,,,,od all test,,,,,,SS all test,,,,,,w_merge,,,,,,AUC MERGE,,,,
,cov_grid,cov_pix,,,cov_grid,cov_pix,diff,abs_diff,,,cov_grid,cov_pix,diff,abs_diff,,,cov_grid,cov_pix,diff,abs_diff,,,cov_grid,cov_pix,diff,abs_diff
P9290671_gt,62.33730316,62.33730316,,P9290671_cov,6.978321075,6.978321075,-55.35898209,55.35898209,,P9290671_grey,71.90322876,71.90322876,9.5659256,9.5659256,,P9290671_cov,62.98427582,62.98427582,0.646972658,0.646972658,,P9290671_grey,70.80068588,70.80068588,8.46338272,8.46338272
P9290672_gt,78.38792801,78.38792801,,P9290672_cov,5.945682526,5.945682526,-72.44224548,72.44224548,,P9290672_grey,51.48525238,51.48525238,-26.90267563,26.90267563,,P9290672_cov,45.35608292,45.35608292,-33.03184509,33.03184509,,P9290672_grey,49.12033081,49.12033081,-29.2675972,29.2675972
P9290674_gt,63.04588318,63.04588318,,P9290674_cov,13.00802231,13.00802231,-50.03786087,50.03786087,,P9290674_grey,69.21691895,69.21691895,6.17103577,6.17103577,,P9290674_cov,62.86945343,62.86945343,-0.17642975,0.17642975,,P9290674_grey,67.76666641,67.76666641,4.72078323,4.72078323
P9290685_gt,100,100,,P9290685_cov,2.114009857,2.114009857,-97.88599014,97.88599014,,P9290685_grey,85.55183411,85.55183411,-14.44816589,14.44816589,,P9290685_cov,71.72727585,71.72727585,-28.27272415,28.27272415,,P9290685_grey,84.60206985,84.60206985,-15.39793015,15.39793015
P9290717_gt,96.74901962,96.74901962,,P9290717_cov,5.798244476,5.798244476,-90.95077514,90.95077514,,P9290717_grey,90.36169052,90.36169052,-6.3873291,6.3873291,,P9290717_cov,83.13913345,83.13913345,-13.60988617,13.60988617,,P9290717_grey,89.9189949,89.9189949,-6.83002472,6.83002472
P9290719_gt,100,100,,P9290719_cov,6.940746307,6.940746307,-93.05925369,93.05925369,,P9290719_grey,97.77383804,97.77383804,-2.22616196,2.22616196,,P9290719_cov,92.26589203,92.26589203,-7.734107971,7.734107971,,P9290719_grey,97.61238098,97.61238098,-2.38761902,2.38761902
P9290729_gt,70.84941864,70.84941864,,P9290729_cov,2.748203278,2.748203278,-68.10121536,68.10121536,,P9290729_grey,61.21101379,61.21101379,-9.63840485,9.63840485,,P9290729_cov,54.890728,54.890728,-15.95869064,15.95869064,,P9290729_grey,58.47063065,58.47063065,-12.37878799,12.37878799
P9290732_gt,42.03767776,42.03767776,,P9290732_cov,1.163291931,1.163291931,-40.87438583,40.87438583,,P9290732_grey,47.00880051,47.00880051,4.97112275,4.97112275,,P9290732_cov,40.14549255,40.14549255,-1.892185206,1.892185206,,P9290732_grey,43.80741119,43.80741119,1.76973343,1.76973343
P9290733_gt,53.3288002,53.3288002,,P9290733_cov,1.450252533,1.450252533,-51.87854767,51.87854767,,P9290733_grey,54.22754288,54.22754288,0.89874268,0.89874268,,P9290733_cov,49.61519241,49.61519241,-3.713607787,3.713607787,,P9290733_grey,53.98788452,53.98788452,0.65908432,0.65908432
P9290745_gt,76.56478882,76.56478882,,P9290745_cov,0.802707672,0.802707672,-75.76208115,75.76208115,,P9290745_grey,61.83338165,61.83338165,-14.73140717,14.73140717,,P9290745_cov,47.37462997,47.37462997,-29.19015885,29.19015885,,P9290745_grey,56.86626434,56.86626434,-19.69852448,19.69852448
P9290746_gt,68.25799942,68.25799942,,P9290746_cov,1.693916321,1.693916321,-66.5640831,66.5640831,,P9290746_grey,56.45332336,56.45332336,-11.80467606,11.80467606,,P9290746_cov,44.41347122,44.41347122,-23.8445282,23.8445282,,P9290746_grey,54.77285385,54.77285385,-13.48514557,13.48514557
P9290750_gt,70.04423141,70.04423141,,P9290750_cov,1.224899292,1.224899292,-68.81933212,68.81933212,,P9290750_grey,66.41864777,66.41864777,-3.62558364,3.62558364,,P9290750_cov,61.61832809,61.61832809,-8.425903316,8.425903316,,P9290750_grey,64.16721344,64.16721344,-5.87701797,5.87701797
P9290755_gt,65.27957916,65.27957916,,P9290755_cov,5.74054718,5.74054718,-59.53903198,59.53903198,,P9290755_grey,63.49372864,63.49372864,-1.78585052,1.78585052,,P9290755_cov,53.93228531,53.93228531,-11.34729385,11.34729385,,P9290755_grey,61.69338226,61.69338226,-3.5861969,3.5861969
P9290756_gt,100,100,,P9290756_cov,11.91806793,11.91806793,-88.08193207,88.08193207,,P9290756_grey,98.22235107,98.22235107,-1.77764893,1.77764893,,P9290756_cov,93.59016418,93.59016418,-6.409835815,6.409835815,,P9290756_grey,98.03256989,98.03256989,-1.96743011,1.96743011
PA210060_gt,77.76050568,77.76050568,,PA210060_cov,10.13689041,10.13689041,-67.62361527,67.62361527,,PA210060_grey,79.29887772,79.29887772,1.53837204,1.53837204,,PA210060_cov,75.04758835,75.04758835,-2.712917332,2.712917332,,PA210060_grey,79.03547287,79.03547287,1.27496719,1.27496719
