gt all test,,,,od all test,,,,,,SS all test,,,,,,w_merge,,,,,,AUC MERGE,,,,
ID,cov_grid,cov_pix,,ID,cov_grid,cov_pix,diff,abs_diff,,ID,cov_grid,cov_pix,diff,abs_diff,,ID,cov_grid,cov_pix,diff,abs_diff,,ID,cov_grid,cov_pix,diff,abs_diff
DSCN0025_gt,42.53320694,42.53320694,,DSCN0025,36.584,36.19375229,-6.339454651,6.339454651,,DSCN0025_grey,58.64992142,58.64992142,16.11671448,16.11671448,,DSCN0025_cov,53.6416,52.81744003,10.28423309,10.28423309,,DSCN0025_grey,55.7748,55.29880524,-12.7655983,12.7655983
DSCN0034_gt,43.63689423,43.63689423,,DSCN0034,49.8772,49.447155,5.810260769,5.810260769,,DSCN0034_grey,44.45962906,44.45962906,0.82273483,0.82273483,,DSCN0034_cov,40.3744,39.43357468,-4.203319553,4.203319553,,DSCN0034_grey,41.0724,40.72084427,2.916049961,2.916049961
DSCN0040_gt,50.4450798,50.4450798,,DSCN0040,67.5964,67.25759506,16.81251526,16.81251526,,DSCN0040_grey,59.73958969,59.73958969,9.29450989,9.29450989,,DSCN0040_cov,54.6484,53.44104767,2.995967868,2.995967868,,DSCN0040_grey,56.2208,55.57994843,-5.134868625,5.134868625
DSCN0051_gt,17.18435287,17.18435287,,DSCN0051,38.5564,38.22126389,21.03691102,21.03691102,,DSCN0051_grey,15.20090103,15.20090103,-1.98345184,1.98345184,,DSCN0051_cov,19.6716,19.29759979,2.113246922,2.113246922,,DSCN0051_grey,18.4076,18.12295914,-0.938606267,0.938606267
DSCN0086_gt,34.56830978,34.56830978,,DSCN0086,56.4536,56.05897903,21.49066925,21.49066925,,DSCN0086_grey,43.92309189,43.92309189,9.35478211,9.35478211,,DSCN0086_cov,46.504,45.85189819,11.28358841,11.28358841,,DSCN0086_grey,46.4956,46.0606575,-11.49234772,11.49234772
DSCN0092_gt,67.47522354,67.47522354,,DSCN0092,27.5264,27.16932297,-40.30590057,40.30590057,,DSCN0092_grey,67.88444519,67.88444519,0.40922165,0.40922165,,DSCN0092_cov,65.2476,64.64099884,-2.8342247,2.8342247,,DSCN0092_grey,68.0528,67.74988174,-0.274658204,0.274658204
DSCN0125_gt,53.29275131,53.29275131,,DSCN0125,73.6596,73.10409546,19.81134415,19.81134415,,DSCN0125_grey,56.56299591,56.56299591,3.2702446,3.2702446,,DSCN0125_cov,55.4508,54.29821014,1.005458834,1.005458834,,DSCN0125_grey,58.2672,57.55176544,-4.259014132,4.259014132
DSCN0126_gt,40.35406113,40.35406113,,DSCN0126,54.492,53.9937973,13.63973617,13.63973617,,DSCN0126_grey,42.29764938,42.29764938,1.94358825,1.94358825,,DSCN0126_cov,38.4716,37.38908768,-2.964973453,2.964973453,,DSCN0126_grey,42.0476,41.49465561,-1.140594479,1.140594479
DSCN0132_gt,38.9131546,38.9131546,,DSCN0132,58.304,57.90271759,18.98956299,18.98956299,,DSCN0132_grey,50.87442398,50.87442398,11.96126938,11.96126938,,DSCN0132_cov,47.662,46.6460228,7.732868197,7.732868197,,DSCN0132_grey,51.126,50.51746368,-11.60430908,11.60430908
DSCN0156_gt,35.83059311,35.83059311,,DSCN0156,29.198,28.56273651,-7.267856599,7.267856599,,DSCN0156_grey,53.94239426,53.94239426,18.11180115,18.11180115,,DSCN0156_cov,46.9064,45.71275711,9.882164001,9.882164001,,DSCN0156_grey,43.7224,43.14651489,-7.315921783,7.315921783
DSCN0161_gt,82.93361664,82.93361664,,DSCN0161,23.8648,23.09389114,-59.8397255,59.8397255,,DSCN0161_grey,98.26564789,98.26564789,15.33203125,15.33203125,,DSCN0161_cov,96.274,95.87669373,12.94307709,12.94307709,,DSCN0161_grey,98.2328,98.06213379,-15.12851715,15.12851715
DSCN0177_gt,44.00873184,44.00873184,,DSCN0177,17.244,16.563797,-27.44493484,27.44493484,,DSCN0177_grey,45.45583725,45.45583725,1.44710541,1.44710541,,DSCN0177_cov,37.95,36.66400909,-7.344722746,7.344722746,,DSCN0177_grey,41.9408,41.2364006,2.772331236,2.772331236
DSCN0183_gt,23.68078232,23.68078232,,DSCN0183,47.1788,46.87595367,23.19517135,23.19517135,,DSCN0183_grey,32.94172287,32.94172287,9.26094055,9.26094055,,DSCN0183_cov,29.3448,28.67603302,4.9952507,4.9952507,,DSCN0183_grey,29.9792,29.67681885,-5.996036528,5.996036528
DSCN0189_gt,52.94656754,52.94656754,,DSCN0189,42.1452,41.53747559,-11.40909195,11.40909195,,DSCN0189_grey,60.42470932,60.42470932,7.47814178,7.47814178,,DSCN0189_cov,56.784,56.03618622,3.089618678,3.089618678,,DSCN0189_grey,58.3664,57.98902512,-5.042457576,5.042457576
DSCN0194_gt,65.82622528,65.82622528,,DSCN0194,35.658,35.01338959,-30.81283569,30.81283569,,DSCN0194_grey,77.21681595,77.21681595,11.39059067,11.39059067,,DSCN0194_cov,69.2528,68.20058823,2.374362946,2.374362946,,DSCN0194_grey,76.6004,76.04990005,-10.22367477,10.22367477
DSCN0200_gt,28.08923721,28.08923721,,DSCN0200,29.4708,28.87353897,0.784301761,0.784301761,,DSCN0200_grey,41.65735245,41.65735245,13.56811524,13.56811524,,DSCN0200_cov,35.748,34.70087051,6.611633304,6.611633304,,DSCN0200_grey,34.6268,34.20858383,-6.119346622,6.119346622
DSCN0202_gt,48.62470627,48.62470627,,DSCN0202,31.18,30.5188179,-18.10588837,18.10588837,,DSCN0202_grey,56.15921021,56.15921021,7.53450394,7.53450394,,DSCN0202_cov,51.2596,50.20751953,1.582813261,1.582813261,,DSCN0202_grey,53.6992,53.1537056,-4.528999327,4.528999327
DSCN0203_gt,67.91095734,67.91095734,,DSCN0203,49.8736,49.22657013,-18.68438721,18.68438721,,DSCN0203_grey,73.33269119,73.33269119,5.42173385,5.42173385,,DSCN0203_cov,67.4276,66.38298035,-1.527976993,1.527976993,,DSCN0203_grey,72.484,71.95425034,-4.043292996,4.043292996
DSCN0212_gt,48.14043045,48.14043045,,DSCN0212,27.8156,27.1938324,-20.94659805,20.94659805,,DSCN0212_grey,53.76605988,53.76605988,5.62562943,5.62562943,,DSCN0212_cov,48.6252,47.82896042,-0.311470031,0.311470031,,DSCN0212_grey,51.6748,51.32274628,-3.182315827,3.182315827
DSCN0215_gt,76.16014481,76.16014481,,DSCN0215,54.5376,53.71828079,-22.44186402,22.44186402,,DSCN0215_grey,71.82092667,71.82092667,-4.33921814,4.33921814,,DSCN0215_cov,67.324,66.21704102,-9.943103794,9.943103794,,DSCN0215_grey,68.426,67.84582138,8.314323429,8.314323429
DSCN0218_gt,63.04883957,63.04883957,,DSCN0218,28.8972,28.11937332,-34.92946625,34.92946625,,DSCN0218_grey,84.43145752,84.43145752,21.38261795,21.38261795,,DSCN0218_cov,79.6124,78.95870209,15.90986252,15.90986252,,DSCN0218_grey,83.844,83.51812363,-20.46928406,20.46928406
DSCN0221_gt,53.52945328,53.52945328,,DSCN0221,42.2264,41.4557457,-12.07370758,12.07370758,,DSCN0221_grey,73.64025116,73.64025116,20.11079788,20.11079788,,DSCN0221_cov,70.04,69.40793991,15.87848663,15.87848663,,DSCN0221_grey,72.0488,71.72136307,-18.19190979,18.19190979
DSCN0229_gt,100,100,,DSCN0229,57.6704,56.944561,-43.055439,43.055439,,DSCN0229_grey,98.9941597,98.9941597,-1.0058403,1.0058403,,DSCN0229_cov,96.806,96.27761841,-3.722381592,3.722381592,,DSCN0229_grey,98.9968,98.84204865,1.157951355,1.157951355
DSCN0231_gt,86.10925674,86.10925674,,DSCN0231,27.8556,27.10189819,-59.00735855,59.00735855,,DSCN0231_grey,97.01280594,97.01280594,10.9035492,10.9035492,,DSCN0231_cov,93.7808,93.18237305,7.073116307,7.073116307,,DSCN0231_grey,96.866,96.70848846,-10.59923172,10.59923172
DSCN0253_gt,31.57310486,31.57310486,,DSCN0253,36.6956,36.04412079,4.471015929,4.471015929,,DSCN0253_grey,53.76424789,53.76424789,22.19114303,22.19114303,,DSCN0253_cov,48.6704,47.68009186,16.106987,16.106987,,DSCN0253_grey,50.846,50.34503937,-18.77193451,18.77193451
DSCN0259_gt,93.69096756,93.69096756,,DSCN0259,74.9012,74.21569824,-19.47526932,19.47526932,,DSCN0259_grey,97.88093567,97.88093567,4.18996811,4.18996811,,DSCN0259_cov,97.1932,96.85668945,3.165721893,3.165721893,,DSCN0259_grey,98.1308,97.98822403,-4.29725647,4.29725647
DSCN0274_gt,66.66002274,66.66002274,,DSCN0274,31.5864,30.83896637,-35.82105637,35.82105637,,DSCN0274_grey,97.58043289,97.58043289,30.92041015,30.92041015,,DSCN0274_cov,94.4176,93.95990372,27.29988098,27.29988098,,DSCN0274_grey,97.2388,97.03788757,-30.37786483,30.37786483
DSCN0286_gt,18.68619919,18.68619919,,DSCN0286,37.2552,36.92674637,18.24054718,18.24054718,,DSCN0286_grey,17.63734818,17.63734818,-1.04885101,1.04885101,,DSCN0286_cov,20.1252,19.72932816,1.043128966,1.043128966,,DSCN0286_grey,17.3088,17.05121994,1.63497925,1.63497925
DSCN0301_gt,12.58792877,12.58792877,,DSCN0301,30.14,29.92343903,17.33551026,17.33551026,,DSCN0301_grey,12.21075058,12.21075058,-0.37717819,0.37717819,,DSCN0301_cov,12.6872,12.34693527,-0.240993498,0.240993498,,DSCN0301_grey,12.6104,12.37783432,0.21009445,0.21009445
DSCN0303_gt,13.63983154,13.63983154,,DSCN0303,33.4044,33.20846558,19.56863404,19.56863404,,DSCN0303_grey,14.85586166,14.85586166,1.21603012,1.21603012,,DSCN0303_cov,13.712,13.25149536,-0.388336179,0.388336179,,DSCN0303_grey,14.7616,14.4698143,-0.829982761,0.829982761
G0074875_gt,96.62408829,96.62408829,,G0074875,15.6172,14.87398148,-81.75010681,81.75010681,,G0074875_grey,86.76357269,86.76357269,-9.8605156,9.8605156,,G0074875_cov,79.5092,78.20367813,-18.42041016,18.42041016,,G0074875_grey,85.98,85.37607193,11.24801636,11.24801636
