,cov_grid,cov_pix
halimeda_264_cov,27.916400000000003,26.773738861083984
halimeda_273_cov,14.5324,13.761711120605469
halimeda_277_cov,1.5556,1.398468017578125
halimeda_282_cov,36.1008,35.03456115722656
halimeda_291_cov,41.2716,40.94381332397461
halimeda_31_SS_cov,61.339600000000004,59.43918228149414
halimeda_31_cov,0.8156,0.7174491882324219
halimeda_33_cov,48.2464,47.45187759399414
halimeda_3_cov,73.4624,72.37234115600586
halimeda_47_cov,1.1048,1.061248779296875
halimeda_50_cov,2.0060000000000002,1.8874168395996094
halimeda_52_cov,3.9191999999999996,3.7290573120117188
halimeda_61_cov,21.4784,20.784378051757812
halimeda_71_cov,21.817600000000002,20.25127410888672
halimeda_81_cov,14.254,13.749027252197266
halimeda_87_cov,13.4724,12.86630630493164
halimeda_88_cov,10.7416,10.227203369140625
halimeda_8_cov,0.2328,0.19197463989257812
halimeda_92_cov,32.4564,31.29281997680664
halimeda_9_cov,0.0,0.0
rsz_PA210097_cov,59.792,58.5545539855957
